id,source,related,gui,os,duplicate,prereq_tutorial,links,comments
186,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-ruby-on-rails-with-rvm-on-ubuntu-16-04,
187,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-provision-and-manage-remote-docker-hosts-with-docker-machine-on-ubuntu-16-04,
188,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-go-1-6-on-ubuntu-16-04,
189,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-manage-raid-arrays-with-mdadm-on-ubuntu-16-04,
190,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-let-s-encrypt-with-nginx-server-blocks-on-ubuntu-16-04,
191,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-a-cluster-of-docker-containers-with-docker-swarm-and-digitalocean-on-ubuntu-16-04,
192,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-django-and-set-up-a-development-environment-on-ubuntu-16-04,
193,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-lvm-to-manage-storage-devices-on-ubuntu-16-04,
194,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-traefik-as-a-reverse-proxy-for-docker-containers-on-ubuntu-16-04,
195,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-manage-logfiles-with-logrotate-on-ubuntu-16-04,
196,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-serve-django-applications-with-uwsgi-and-nginx-on-ubuntu-16-04,
197,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-the-latest-mysql-on-ubuntu-16-04,
198,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-a-django-app-and-connect-it-to-a-database,
199,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-openldap-and-phpldapadmin-on-ubuntu-16-04,
200,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-ruby-on-rails-with-rbenv-on-ubuntu-16-04,
201,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-serve-flask-applications-with-uwsgi-and-nginx-on-ubuntu-16-04,
202,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-enable-sftp-without-shell-access-on-ubuntu-16-04,
204,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-move-a-postgresql-data-directory-to-a-new-location-on-ubuntu-16-04,
206,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-certbot-standalone-mode-to-retrieve-let-s-encrypt-ssl-certificates-on-ubuntu-16-04,
207,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-move-an-apache-web-root-to-a-new-location-on-ubuntu-16-04,
209,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-bind-as-a-private-network-dns-server-on-ubuntu-16-04,
210,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-apache-as-a-reverse-proxy-with-mod_proxy-on-ubuntu-16-04,
211,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-deploy-a-laravel-application-with-nginx-on-ubuntu-16-04,
212,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-secure-the-mosquitto-mqtt-messaging-broker-on-ubuntu-16-04,
213,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-hadoop-in-stand-alone-mode-on-ubuntu-16-04,
214,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-set-up-an-ikev2-vpn-server-with-strongswan-on-ubuntu-16-04,
215,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-jenkins-on-ubuntu-16-04,
216,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-wordpress-with-lemp-on-ubuntu-16-04,
217,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-move-a-mysql-data-directory-to-a-new-location-on-ubuntu-16-04,
218,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-elasticsearch-logstash-and-kibana-elastic-stack-on-ubuntu-16-04,
219,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-temporary-and-permanent-redirects-with-nginx,
221,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-nginx-with-http-2-support-on-ubuntu-16-04,
222,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-set-up-time-synchronization-on-ubuntu-16-04,
223,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-nextcloud-on-ubuntu-16-04,
224,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-r-on-ubuntu-16-04-2,
225,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-owncloud-on-ubuntu-16-04,
227,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-git-on-ubuntu-16-04,
228,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-and-use-composer-on-ubuntu-16-04,
229,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-rewrite-urls-with-mod_rewrite-for-apache-on-ubuntu-16-04,
230,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-zabbix-to-securely-monitor-remote-servers-on-ubuntu-16-04,
232,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-docker-compose-on-ubuntu-16-04,
233,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-nginx-as-a-web-server-and-reverse-proxy-for-apache-on-one-ubuntu-16-04-server,
234,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-import-and-export-databases-in-mysql-or-mariadb,
235,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-a-self-signed-ssl-certificate-for-nginx-in-ubuntu-16-04,
236,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-elasticsearch-on-ubuntu-16-04,
237,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-set-up-a-jupyter-notebook-to-run-ipython-on-ubuntu-16-04,
238,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-raid-arrays-with-mdadm-on-ubuntu-16-04,
